地域コード,地域,産業コード,産業,w2016,w2021,e2016,e2021
0,全国,AB,農林漁業,363024,453703,32676,42458
0,全国,C,鉱業，採石業，砂利採取業,19467,19697,1851,1865
0,全国,D,建設業,3690740,3737415,492734,485135
0,全国,E,製造業,8864253,8803643,454800,412617
0,全国,F,電気・ガス・熱供給・水道業,187818,202149,4654,9139
0,全国,G,情報通信業,1642042,1986839,63574,76559
0,全国,H,運輸業，郵便業,3197231,3264734,130459,128224
0,全国,I,卸売業，小売業,11843869,11611924,1355060,1228920
0,全国,J,金融業，保険業,1530002,1494436,84041,83852
0,全国,K,不動産業，物品賃貸業,1462395,1618138,353155,374456
0,全国,L,学術研究，専門・技術サービス業,1842795,2118920,223439,252340
0,全国,M,宿泊業，飲食サービス業,5362088,4678739,696396,599058
0,全国,N,生活関連サービス業，娯楽業,2420557,2176139,470713,434209
0,全国,O,教育，学習支援業,1827596,1950734,167662,163357
0,全国,P,医療，福祉,7374844,8162398,429173,462531
0,全国,Q,複合サービス事業,484260,435970,33780,32131
0,全国,R,サービス業（他に分類されないもの）,4759845,5234337,346616,369212
